Unique ID,Name,Gender,Age,Rec ID,Source ID,Nationality,Nationality Status,Position Assigned,Salary,BU ID,Time to Hire,Onboarding Date,Termination Date,Termination Reason,Left,Experience,Job Satisfaction,Absenteesm,OvertimeHours,Bonus,Total Salary,Position Status
20190005,Candidate20190005,Male,47,Hashim,2,Japan,Developed Country,ED,1676821,1,17,43570,,,,25,8,0.07,353,197305.9377,1874126.938,Leadership Position
20190012,Candidate20190012,Male,24,Saksham,6,India,Developing Country,Analyst,1169018,1,11,43594,43952,Better Opportunities,Left,2,2,0.08,311,121188.1993,1290206.199,Non Leadership Position
20190014,Candidate20190014,Female,30,Nirmit,6,Japan,Developed Country,Analyst,903984,1,12,43764,44157,Work Life Balance,Left,5,4,0.11,307,92507.696,996491.696,Non Leadership Position
20190017,Candidate20190017,Male,46,Saksham,6,Japan,Developed Country,ED,1766818,2,14,43796,,,,24,9,0.09,312,183749.072,1950567.072,Leadership Position
20190020,Candidate20190020,Female,26,Khushi,6,USA,Developed Country,Analyst,851871,1,12,43554,,,,4,10,0.07,309,87742.713,939613.713,Non Leadership Position
20190024,Candidate20190024,Male,44,Khushi,6,Brazil,Developing Country,ED,1708857,1,15,43808,,,,18,9,0.05,355,202214.745,1911071.745,Leadership Position
20190025,Candidate20190025,Female,22,Hashim,6,Japan,Developed Country,Analyst,903307,2,14,43563,44073,Pay Disparity,Left,0,3,0.08,312,93943.928,997250.928,Non Leadership Position
20190029,Candidate20190029,Male,48,Saksham,6,Japan,Developed Country,Associate,1219414,1,15,43608,,,,22,8,0.08,340,138200.2533,1357614.253,Non Leadership Position
20190040,Candidate20190040,Female,23,Hashim,6,Brazil,Developing Country,Analyst,944906,1,16,43548,43952,Pay Disparity,Left,1,4,0.08,305,96065.44333,1040971.443,Non Leadership Position
20190042,Candidate20190042,Male,53,Nirmit,6,China,Developing Country,ED,1748867,1,13,43655,,,,28,8,0.08,304,177218.5227,1926085.523,Leadership Position
20190045,Candidate20190045,Female,22,Nirmit,6,China,Developing Country,Analyst,866978,1,15,43553,43943,Pay Disparity,Left,0,5,0.07,319,92188.66067,959166.6607,Non Leadership Position
20190047,Candidate20190047,Female,28,Kashish,6,Japan,Developed Country,Analyst,854847,3,13,43518,44033,Better Opportunities,Left,6,3,0.07,310,88334.19,943181.19,Non Leadership Position
20190053,Candidate20190053,Male,39,Saksham,6,India,Developing Country,MD,1951283,1,15,43694,,,,13,7,0.04,349,226999.2557,2178282.256,Leadership Position
20190054,Candidate20190054,Male,48,Saksham,6,USA,Developed Country,ED,1618363,1,14,43810,,,,26,7,0.05,325,175322.6583,1793685.658,Leadership Position
20190062,Candidate20190062,Female,26,Nirmit,6,USA,Developed Country,Analyst,968279,2,15,43518,,,,4,5,0.09,308,99409.97733,1067688.977,Non Leadership Position
20190067,Candidate20190067,Male,23,Hashim,6,USA,Developed Country,Analyst,1131463,3,13,43747,43943,Better Opportunities,Left,1,2,0.08,357,134644.097,1266107.097,Non Leadership Position
20190076,Candidate20190076,Female,30,Hashim,6,India,Developing Country,Analyst,867189,2,12,43503,44033,Work Life Balance,Left,7,3,0.07,317,91632.971,958821.971,Non Leadership Position
20190077,Candidate20190077,Female,27,Saksham,6,Japan,Developed Country,Analyst,838965,4,13,43545,44073,Negative Work Culture,Left,2,4,0.1,320,89489.6,928454.6,Non Leadership Position
20190078,Candidate20190078,Male,46,Nirmit,6,Japan,Developed Country,ED,1733749,3,14,43533,,,,21,7,0.04,309,178576.147,1912325.147,Leadership Position
20190086,Candidate20190086,Male,28,Kashish,6,USA,Developed Country,Analyst,1158668,4,12,43602,43952,Negative Work Culture,Left,2,3,0.07,350,135177.9333,1293845.933,Non Leadership Position
20190087,Candidate20190087,Female,27,Saksham,6,Brazil,Developing Country,Analyst,888228,2,15,43742,,,,2,5,0.07,316,93560.016,981788.016,Non Leadership Position
20190088,Candidate20190088,Male,36,Nirmit,6,China,Developing Country,ED,1715776,2,15,43528,,,,14,9,0.09,328,187591.5093,1903367.509,Leadership Position
20190089,Candidate20190089,Male,45,Khushi,6,USA,Developed Country,ED,1746205,2,15,43759,43943,Negative Work Culture,Left,22,3,0.06,300,174620.5,1920825.5,Leadership Position
20190092,Candidate20190092,Male,46,Kashish,6,India,Developing Country,MD,1864145,2,16,43614,,,,21,10,0.06,325,201949.0417,2066094.042,Leadership Position
20190095,Candidate20190095,Male,53,Nirmit,6,USA,Developed Country,ED,1620994,3,14,43571,,,,31,9,0.04,317,171285.0327,1792279.033,Leadership Position
20190106,Candidate20190106,Male,32,Saksham,1,India,Developing Country,Analyst,1014066,3,16,43523,,,,6,8,0.07,324,109519.128,1123585.128,Non Leadership Position
20190115,Candidate20190115,Female,39,Hashim,6,Japan,Developed Country,ED,1493853,4,13,43523,44033,Negative Work Culture,Left,15,4,0.11,301,149883.251,1643736.251,Leadership Position
20190116,Candidate20190116,Male,29,Khushi,6,India,Developing Country,Analyst,1158521,4,17,43609,43943,Better Opportunities,Left,7,5,0.05,315,121644.705,1280165.705,Non Leadership Position
20190117,Candidate20190117,Male,50,Nirmit,6,Japan,Developed Country,Associate,1328511,2,14,43568,44157,Better Opportunities,Left,24,4,0.07,312,138165.144,1466676.144,Non Leadership Position
20190120,Candidate20190120,Male,44,Kashish,6,India,Developing Country,ED,1728191,1,15,43769,,,,18,10,0.04,334,192405.2647,1920596.265,Leadership Position
20190130,Candidate20190130,Male,41,Saksham,6,USA,Developed Country,ED,1740529,4,13,43604,,,,18,7,0.06,329,190878.0137,1931407.014,Leadership Position
20190135,Candidate20190135,Male,28,Hashim,6,Japan,Developed Country,Analyst,1197649,1,16,43494,,,,5,9,0.06,303,120962.549,1318611.549,Non Leadership Position
20190136,Candidate20190136,Male,54,Kashish,6,USA,Developed Country,MD,1826802,1,13,43508,44157,Negative Work Culture,Left,28,4,0.07,324,197294.616,2024096.616,Leadership Position
20190138,Candidate20190138,Female,40,Saksham,6,USA,Developed Country,MD,1622199,2,11,43495,,,,16,3,0.07,316,170871.628,1793070.628,Leadership Position
20190140,Candidate20190140,Male,32,Saksham,6,Japan,Developed Country,Analyst,1139718,2,15,43550,,,,10,10,0.05,308,117011.048,1256729.048,Non Leadership Position
20190141,Candidate20190141,Female,30,Nirmit,6,USA,Developed Country,Analyst,944579,1,14,43571,44024,Work Life Balance,Left,7,5,0.08,304,95717.33867,1040296.339,Non Leadership Position
20190154,Candidate20190154,Female,36,Hashim,6,India,Developing Country,ED,1506887,2,13,43550,,,,10,6,0.09,307,154204.7697,1661091.77,Leadership Position
20190155,Candidate20190155,Female,23,Khushi,6,USA,Developed Country,Analyst,841762,2,13,43689,44149,Pay Disparity,Left,1,2,0.07,305,85579.13667,927341.1367,Non Leadership Position
20190157,Candidate20190157,Male,30,Nirmit,6,USA,Developed Country,Analyst,1096900,3,13,43507,44157,Negative Work Culture,Left,5,2,0.04,357,130531.1,1227431.1,Non Leadership Position
20190158,Candidate20190158,Male,44,Nirmit,1,Japan,Developed Country,MD,1887386,1,12,43622,,,,22,10,0.07,320,201321.1733,2088707.173,Leadership Position
20190161,Candidate20190161,Female,42,Khushi,6,Japan,Developed Country,MD,1637381,2,15,43718,,,,19,7,0.08,308,168104.4493,1805485.449,Leadership Position
20190162,Candidate20190162,Male,23,Khushi,4,Japan,Developed Country,Associate,1247861,3,12,43527,,,,1,10,0.04,340,141424.2467,1389285.247,Non Leadership Position
20190163,Candidate20190163,Female,50,Hashim,6,Brazil,Developing Country,ED,1444532,2,16,43489,,,,27,7,0.07,311,149749.8173,1594281.817,Leadership Position
20190170,Candidate20190170,Female,29,Kashish,6,Japan,Developed Country,Analyst,934498,3,12,43774,44177,Work Life Balance,Left,3,4,0.08,302,94072.79867,1028570.799,Non Leadership Position
20190174,Candidate20190174,Female,30,Khushi,5,Japan,Developed Country,Analyst,868101,4,14,43580,43963,Work Life Balance,Left,5,5,0.11,302,87388.834,955489.834,Non Leadership Position
20190181,Candidate20190181,Male,48,Hashim,1,Japan,Developed Country,MD,1897090,3,11,43547,,,,25,9,0.08,302,190973.7267,2088063.727,Leadership Position
20190183,Candidate20190183,Male,46,Saksham,6,Japan,Developed Country,MD,1850513,4,12,43600,,,,24,8,0.09,359,221444.7223,2071957.722,Leadership Position
20190188,Candidate20190188,Female,22,Saksham,6,Japan,Developed Country,Associate,1023247,4,14,43495,43937,Pay Disparity,Left,0,4,0.07,315,107440.935,1130687.935,Non Leadership Position
20190192,Candidate20190192,Male,33,Hashim,6,Brazil,Developing Country,Associate,1223275,1,15,43751,,,,7,10,0.06,347,141492.1417,1364767.142,Non Leadership Position
20190193,Candidate20190193,Male,42,Kashish,6,Japan,Developed Country,Analyst,1070186,1,13,43583,,,,20,10,0.06,320,114153.1733,1184339.173,Non Leadership Position
20190194,Candidate20190194,Female,23,Hashim,6,Japan,Developed Country,Analyst,849949,2,15,43772,43854,Pay Disparity,Left,1,2,0.11,300,84994.9,934943.9,Non Leadership Position
20190197,Candidate20190197,Male,36,Kashish,3,Japan,Developed Country,Associate,1285848,1,16,43554,,,,13,9,0.04,301,129013.416,1414861.416,Non Leadership Position
20190208,Candidate20190208,Male,28,Kashish,6,China,Developing Country,Analyst,1033762,2,13,43624,,,,6,7,0.09,320,110267.9467,1144029.947,Non Leadership Position
20190210,Candidate20190210,Female,26,Hashim,6,USA,Developed Country,Analyst,864487,4,12,43528,,,,4,7,0.09,301,86736.86233,951223.8623,Non Leadership Position
